id,name,birth_year,death_year,birth_place_raw,country,region,period,wikidata,lifespan
jorge_jinkis,Jorge Jinkis,1943.0,,Argentina,Argentina,Latin America,World Wars Era,,
eduardo_gruner,Eduardo Grüner,1946.0,,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q56582734,
luis_gusman,Luis Gusmán,1944.0,,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5679615,
platon,Platón,-428.0,-348.0,Grecia Antigua,Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q859,80.0
soren_kierkegaard,Søren Kierkegaard,1813.0,1855.0,Dinamarca,Denmark,Scandinavia,Revolutionary Era,http://www.wikidata.org/entity/Q6512,42.0
jesus,de Nazaret Jesús,-4.0,30.0,Imperio Romano (Judea),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q302,34.0
michel_foucault,Michel Foucault,1926.0,1984.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q44272,58.0
mario_levin,Mario Levin,1944.0,,Argentina,Argentina,Latin America,World Wars Era,,
freud,Sigmund Freud,1856.0,1939.0,Imperio Austríaco (actual República Checa),Imperio Austríaco,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q9215,83.0
ramon_alcalde,Ramón Alcalde,1951.0,2021.0,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q75653349,70.0
ronald_reagan,Ronald Reagan,1911.0,2004.0,Estados Unidos,United States,North America,Long 19th Century,http://www.wikidata.org/entity/Q9960,93.0
balzac,Honoré Balzac,1799.0,1850.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9711,51.0
karl_marx,Karl Marx,1818.0,1883.0,Prusia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9061,65.0
san_agustin,de Hipona Agustín,354.0,430.0,Imperio Romano (actual Argelia),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q8018,76.0
jean_paul_sartre,Jean-Paul Sartre,1905.0,1980.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q9364,75.0
juan_domingo_peron,Juan Domingo Perón,1895.0,1974.0,"Lobos, Argentina",Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q93330,79.0
david_vinias,David Viñas,1927.0,2011.0,"Buenos Aires, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q965392,84.0
leopoldo_galtieri,Leopoldo Fortunato Galtieri,1926.0,2003.0,"Caseros, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q124993,77.0
raul_alfonsin,Raúl Alfonsín,1927.0,2009.0,"Chascomús, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q193062,82.0
basilio_lami_dozo,Basilio Lami Dozo,1929.0,2017.0,"Santiago del Estero, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q2886883,88.0
francois_mitterrand,François Mitterrand,1916.0,1996.0,"Jarnac, Francia",France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q2038,80.0
jorge_anaya,Jorge Isaac Anaya,1926.0,2008.0,"Bahía Blanca, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q2714985,82.0
beatriz_sarlo,Beatriz Sarlo,1942.0,2024.0,"Buenos Aires, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q4408686,82.0
antonio_gramsci,Antonio Gramsci,1891.0,1937.0,"Ales, Italia",Italy,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q83003,46.0
juan_carlos_ongania,Juan Carlos Onganía,1914.0,1995.0,"Marcos Paz, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q365326,81.0
algirdas_greimas,Algirdas Julien Greimas,1917.0,1992.0,"Tula, Rusia",Russia,Eastern Europe,World Wars Era,http://www.wikidata.org/entity/Q313379,75.0
julia_kristeva,Julia Kristeva,1941.0,,"Sliven, Bulgaria","Sliven, Bulgaria",Other/Unknown,World Wars Era,http://www.wikidata.org/entity/Q159876,
carl_von_clausewitz,Carl von Clausewitz,1780.0,1831.0,"Burg bei Magdeburg, Alemania",Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q76430,51.0
cesar_jaroslavsky,César Jaroslavsky,1928.0,2002.0,"Victoria, Entre Ríos, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5202568,74.0
juan_octavio_gauna,Juan Octavio Gauna,1937.0,2023.0,"Buenos Aires, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q28028564,86.0
jose_severo_caballero,José Severo Caballero,1926.0,1993.0,"Córdoba, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q17612296,67.0
augusto_belluscio,Augusto César Belluscio,1930.0,,"Buenos Aires, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q17612294,
carlos_fayt,Carlos Santiago Fayt,1918.0,2016.0,"Salta, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5042066,98.0
enrique_petracchi,Enrique Santiago Petracchi,1935.0,2014.0,"Buenos Aires, Argentina",Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q2889498,79.0
