author_id,author_name,total_citations,unique_citations,top_region,top_period,pct_western_europe,pct_latin_america
luis_chitarroni,Luis Chitarroni,74,31,Latin America,World Wars Era,25.7,58.1
luis_gusman,Luis Gusmán,144,44,Latin America,Revolutionary Era,41.7,46.5
jorge_jinkis,Jorge Jinkis,125,38,Latin America,World Wars Era,10.4,81.6
nestor_perlongher,Néstor Perlongher,11,9,Latin America,Contemporary,18.2,72.7
ramon_alcalde,Ramón Alcalde,76,42,Latin America,Contemporary,23.7,65.8
eduardo_gruner,Eduardo Grüner,195,89,Latin America,Long 19th Century,31.3,56.4
norma_gentili,norma_gentili,6,3,Latin America,Long 19th Century,16.7,83.3
liliana_heer,Liliana Heer,7,5,Latin America,World Wars Era,28.6,42.9
jorge_monteleone,Jorge Monteleone,93,33,Latin America,World Wars Era,21.5,64.5
hugo_savino,Hugo Savino,36,20,Latin America,World Wars Era,36.1,47.2
beatriz_castillo,Beatriz Castillo,16,9,Western Europe,World Wars Era,81.2,0.0
mercedes_roffe,Mercedes Roffé,56,18,Western Europe,Revolutionary Era,64.3,0.0
martin_heidegger,Martin Heidegger,46,7,Western Europe,Long 19th Century,89.1,0.0
