id,name,type,country,region,period,birth_year,in_degree,out_degree
luis_chitarroni,Luis Chitarroni,author,Argentina,Latin America,Contemporary,1958.0,0,31
rodolfo_wilcock,Juan Rodolfo Wilcock,cited,Argentina,Latin America,World Wars Era,1919.0,3,0
ben_jonson,Ben Jonson,cited,United Kingdom,Western Europe,Renaissance,1572.0,1,0
ts_eliot,T. Eliot,cited,United States,North America,Long 19th Century,1888.0,2,0
auden,Wystan Hugh Auden,cited,United Kingdom,Western Europe,Long 19th Century,1907.0,1,0
evelyn_waugh,Evelyn Waugh,cited,United Kingdom,Western Europe,Long 19th Century,1903.0,1,0
jack_kerouac,Jack Kerouac,cited,United States,North America,World Wars Era,1922.0,1,0
brahms,Johannes Brahms,cited,Germany,Western Europe,Revolutionary Era,1833.0,1,0
bioy_casares,Adolfo Bioy Casares,cited,Argentina,Latin America,World Wars Era,1914.0,1,0
alberto_arbasino,Alberto Arbasino,cited,Italy,Western Europe,World Wars Era,1930.0,1,0
alberto_moravia,Alberto Moravia,cited,Italy,Western Europe,Long 19th Century,1907.0,1,0
henry_james,Henry James,cited,United States,North America,Revolutionary Era,1843.0,1,0
marcel_proust,Marcel Proust,cited,France,Western Europe,Long 19th Century,1871.0,1,0
ruggero_guarini,Ruggero Guarini,cited,Italy,Western Europe,World Wars Era,1931.0,1,0
pasolini,Pier Paolo Pasolini,cited,Italy,Western Europe,World Wars Era,1922.0,1,0
dylan_thomas,Dylan Thomas,cited,"Swansea, Gales",Other/Unknown,World Wars Era,1914.0,1,0
vernon_watkins,Vernon Watkins,cited,"Maesteg, Gales",Other/Unknown,Long 19th Century,1906.0,1,0
felix_della_paolera,Félix Della Paolera,cited,Argentina,Latin America,World Wars Era,1923.0,1,0
ivy_compton_burnett,Ivy Compton-Burnett,cited,United Kingdom,Western Europe,Long 19th Century,1884.0,1,0
paul_valery,Ambroise Valéry,cited,France,Western Europe,Long 19th Century,1871.0,1,0
claude_simon,Claude Simon,cited,"Antananarivo, Madagascar",Other/Unknown,Long 19th Century,1913.0,1,0
borges,Jorge Borges,cited,Argentina,Latin America,Long 19th Century,1899.0,6,0
jonathan_swift,Jonathan Swift,cited,Ireland,Western Europe,Early Modern,1667.0,1,0
erwin_schroedinger,Erwin Schrödinger,cited,Austria,Western Europe,Long 19th Century,1887.0,1,0
henri_landru,Henri Landru,cited,France,Western Europe,Long 19th Century,1869.0,1,0
mallarme,Stéphane Mallarmé,cited,France,Western Europe,Revolutionary Era,1842.0,1,0
sor_juana,Sor Juana Inés de la Cruz,cited,Mexico,Latin America,Early Modern,1648.0,1,0
napoleon,Napoléon Bonaparte,cited,France,Western Europe,Early Modern,1769.0,1,0
james_joyce,James Joyce,cited,Ireland,Western Europe,Long 19th Century,1882.0,3,0
edgardo_cozarinsky,Edgardo Cozarinsky,cited,Argentina,Latin America,World Wars Era,1939.0,1,0
john_milton,John Milton,cited,United Kingdom,Western Europe,Early Modern,1608.0,1,0
luis_gusman,Luis Gusmán,author,Argentina,Latin America,World Wars Era,1944.0,3,44
robert_walser,Robert Walser,cited,Switzerland,Western Europe,Long 19th Century,1878.0,1,0
kafka,Franz Kafka,cited,Czech Republic,Eastern Europe,Long 19th Century,1883.0,3,0
robert_musil,Robert Musil,cited,Austria,Western Europe,Long 19th Century,1880.0,1,0
charles_saint_beuve,Charles-Augustin Sainte-Beuve,cited,France,Western Europe,Revolutionary Era,1804.0,1,0
goethe,Johann Goethe,cited,Germany,Western Europe,Early Modern,1749.0,2,0
henri_wallon,Henri Wallon,cited,France,Western Europe,Long 19th Century,1879.0,1,0
lev_tolstoi,Lev Tolstói,cited,Russia,Eastern Europe,Revolutionary Era,1828.0,2,0
fiodor_dostoyevski,Fiódor Dostoyevski,cited,"Moscú, Imperio Ruso",Other/Unknown,Revolutionary Era,1821.0,2,0
roberto_calasso,Roberto Calasso,cited,Italy,Western Europe,World Wars Era,1941.0,1,0
jorge_jinkis,Jorge Jinkis,author,Argentina,Latin America,World Wars Era,1943.0,1,38
freud,Sigmund Freud,cited,Imperio Austríaco,Other/Unknown,Long 19th Century,1856.0,1,0
witold_gombrowicz,Witold Gombrowicz,cited,Poland,Eastern Europe,Long 19th Century,1904.0,2,0
holderlin,Johann Hölderlin,cited,Germany,Western Europe,Early Modern,1770.0,1,0
martin_heidegger,Martin Heidegger,cited,Germany,Western Europe,Long 19th Century,1889.0,2,7
maurice_blanchot,Maurice Blanchot,cited,France,Western Europe,Long 19th Century,1907.0,1,0
socrates,Sócrates,cited,Greece,Southern Europe / Classical,Classical Antiquity,-470.0,1,0
alfredo_palacios,Alfredo Palacios,cited,Buenos Aires,Other/Unknown,Long 19th Century,1878.0,1,0
arturo_frondizi,Arturo Frondizi,cited,Argentina,Latin America,Long 19th Century,1908.0,1,0
hector_campora,Héctor Cámpora,cited,Argentina,Latin America,Long 19th Century,1909.0,1,0
juan_domingo_peron,Juan Domingo Perón,cited,Argentina,Latin America,Long 19th Century,1895.0,1,0
raul_alfonsin,Raúl Alfonsín,cited,Argentina,Latin America,World Wars Era,1927.0,1,0
albino_gomez,Albino Gómez,cited,Argentina,Latin America,World Wars Era,1928.0,1,0
mario_benedetti,Mario Benedetti,cited,Uruguay,Latin America,World Wars Era,1920.0,1,0
leon_rozitchner,León Rozitchner,cited,Argentina,Latin America,World Wars Era,1924.0,1,0
luis_gregorich,Luis Gregorich,cited,Argentina,Latin America,World Wars Era,1928.0,1,0
carl_jung,Carl Gustav Jung,cited,Switzerland,Western Europe,Long 19th Century,1875.0,1,0
