bibl_id,title,author_name,author_ref,date_year,level,lang,citation_count
revista_sitio,Sitio,,,1981,j,,30
codigo_justicia_militar,Código de Justicia Militar,Estado Argentino,,1951,m,,7
revista_la_ley,La Ley,,,1935,j,,5
codigo_penal,Código Penal de la Nación Argentina,Estado Argentino,,1921,m,,3
clausewitz_guerra,Vom Kriege,Carl von Clausewitz,carl_von_clausewitz,1832,m,,2
codigo_honor,Código de honor comentado,José Rivanera,jose_rivanera,1954,m,,2
revista_fin_siglo,Fin de siglo,,,1987,j,,2
kierkegaard_angustia,El concepto de la angustia,Søren Kierkegaard,soren_kierkegaard,1844,m,,1
diario_la_nacion,La Nación,,,1870,j,,1
fierro_obediencia,La obediencia debida en el ámbito penal y militar,Guillermo Fierro,guillermo_fierro,1984,m,,1
balzac_envers,L'Envers de l'histoire contemporaine,Honoré de Balzac,balzac,1848,m,,1
saenz_sembrar_semilla,“Sembrar la semilla de la subversión”,Dalmiro Sáenz,dalmiro_saenz,1987,a,,1
vinias_literatura_traicion,“La literatura como una traición”,David Viñas,david_vinias,1987,a,,1
sarlo_militares_historia,“Los militares y la historia. Contra los perros del olvido”,Beatriz Sarlo,beatriz_sarlo,1987,a,,1
lyotard_marx_freud,A partir de Marx y Freud,Jean-François Lyotard,jean_francois_lyotard,1973,m,,1
veron_discurso_politico,"El discurso político, lenguaje y acontecimientos",Eliseo Verón,eliseo_veron,1987,m,,1
aseff_predominancia,“Predominancia del discurso. Una crítica”,Lucía Aseff,lucia_aseff,1987,a,,1
landi_discurso_posible,El discurso sobre lo posible. (La democracia y el realismo político),Oscar Landi,oscar_landi,1987,m,,1
landi_crisis_abril,“La crisis de abril”,Oscar Landi,oscar_landi,1987,a,,1
katz_hecho_historia,“Un hecho de nuestra historia”,Alejandro Katz,alejandro_katz,1987,a,,1
