author_id,author_name,total_citations,unique_citations,top_region,top_period,pct_western_europe,pct_latin_america
jorge_jinkis,Jorge Jinkis,7,7,Western Europe,Long 19th Century,85.7,14.3
eduardo_gruner,Eduardo Grüner,135,60,Western Europe,Renaissance,78.5,3.7
luis_gusman,Luis Gusmán,8,3,Other/Unknown,Revolutionary Era,25.0,0.0
leo_strauss,Leo Strauss,65,44,Western Europe,Early Modern,58.5,3.1
mario_levin,Mario Levin,21,18,Western Europe,Long 19th Century,47.6,9.5
pascal_bonitzer,Pascal Bonitzer,37,22,Western Europe,World Wars Era,89.2,0.0
ana_barrenechea,Ana Barrenechea,18,11,Latin America,Long 19th Century,38.9,55.6
witold_gombrowicz,Witold Gombrowicz,5,5,Latin America,Long 19th Century,0.0,80.0
luis_thonis,Luis Thonis,65,24,Latin America,Long 19th Century,23.1,61.5
ramon_alcalde,Ramón Alcalde,399,116,Western Europe,Revolutionary Era,76.4,6.3
leon_bloy,Léon Bloy,76,19,Other/Unknown,Hellenistic/Roman,17.1,0.0
emile_zola,Émile Zola,7,7,Western Europe,Revolutionary Era,57.1,14.3
luis_chitarroni,Luis Chitarroni,26,19,Latin America,World Wars Era,26.9,53.8
enrique_pezzoni,Enrique Pezzoni,41,8,Latin America,Long 19th Century,7.3,85.4
sylvia_molloy,Sylvia Molloy,60,15,Other/Unknown,Long 19th Century,18.3,8.3
antoine_berman,Antoine Berman,46,29,Western Europe,Long 19th Century,87.0,0.0
leonora_carrington,Leonora Carrington,38,11,Western Europe,Long 19th Century,92.1,7.9
